config_sita,modelo_ml,r2,mae,rmse
4444,RF,0.7312650419044795,32.311984211316705,62.86553951131784
3444,RF,0.684339985093255,40.78152237551052,68.25183591795061
2444,RF,0.6887482428705994,40.2405336708199,67.91226545232975
1444,RF,0.6948849803809891,39.45429328870468,67.04540900146846
0444,RF,0.6982093454295445,38.896737308432286,66.73698241631084
4434,RF,0.7133011745503286,35.608319999391014,65.09931110074415
4424,RF,0.710620999821122,36.15645233089542,65.45709154953293
4414,RF,0.7037382274210281,36.99722116396926,66.17360187715349
4404,RF,0.6949280637365906,38.2491162579622,67.1427930168541
4443,RF,0.6408397176093215,45.40803462101961,72.92261274615802
4442,RF,0.6458491017036104,44.95914250462504,72.49090048126752
4441,RF,0.6438100468656784,45.109309664257665,72.6971984639359
4440,RF,0.640459202815343,45.90685828992125,73.16699735046537
